"com","lib_com","dep","reg","business_crea","nb_crimes","nb_households","pop","income","com_type","party","tax_rate","motorway","iqr_income","nb_businesses","crime_rate"
"06104","Roquebrune-Cap-Martin","06",93,0.134078219532967,87,13694.4112415895,12845,4,"B","Right",0.321899980306625,1,18844,1074,0.00635295657952667
"06123","Saint-Laurent-du-Var","06",93,0.121370308101177,174,17753.2683473476,29112,4,"B","Right",0.284999996423721,1,15068,3065,0.00980101221902592
"06149","La Trinité","06",93,0.134328365325928,35,4610.50111932884,10285,3,"B","Right",0.29569998383522,1,13818,670,0.00759136568761858
"06152","Valbonne","06",93,0.106007069349289,105,6684.53945032578,13734,4,"B","Left",0.252700001001358,1,21644,2547,0.0157078884462089
"06155","Vallauris","06",93,0.128266036510468,155,19981.4970481381,26153,2,"B","Right",0.252700001001358,1,16778,2947,0.0077571765331989
"06157","Vence","06",93,0.121976867318153,33,11378.6158165544,18706,4,"B","Right",0.285899996757507,1,19708,1902,0.00290017701028181
"06161","Villeneuve-Loubet","06",93,0.130285158753395,181,12034.486849454,14423,4,"B","Right",0.252700001001358,1,18868,2034,0.0150401095006566
"07010","Annonay","07",84,0.0982048586010933,36,9982.57987281376,17379,2,"C","Left",0.268099993467331,1,13700,947,0.00360628218944095
"07019","Aubenas","07",84,0.0977630466222763,61,7611.83698838488,13002,2,"C","Right",0.295400023460388,0,14582,1207,0.00801383425486931
"07102","Guilherand-Granges","07",84,0.136894822120667,45,5955.34270633717,11134,3,"B","Right",0.279799997806549,1,13227,599,0.00755624020631337
"07324","Tournon-sur-Rhône","07",84,0.104196816682816,30,5587.35724176406,10936,2,"C","Right",0.240099996328354,1,14410,691,0.00536926469919584
"08105","Charleville-Mézières","08",44,0.0984455943107605,143,26033.525218906,49620,2,"C","Right",0.23709999024868,1,16680,2702,0.00549291725947859
"08409","Sedan","08",44,0.0856201946735382,38,9805.71584084914,17675,2,"C","Left",0.271899998188019,1,15288,911,0.00387529076069059
"09122","Foix","09",76,0.114285714924335,22,6258.78954077125,10213,2,"C","Left",0.342099994421005,1,16378,805,0.00351505668255607
"09225","Pamiers","09",76,0.0838126540184021,141,9009.22950615274,16248,2,"C","Right",0.337300002574921,1,14478,1217,0.0156506169482868
"10081","La Chapelle-Saint-Luc","10",44,0.110124334692955,23,5503.10723197634,12550,2,"B","Left",0.254200011491776,1,14908,563,0.00417945699228906
"10323","Romilly-sur-Seine","10",44,0.0963081866502762,54,7711.58855108365,14808,2,"C","Right",0.198600009083748,0,13492,623,0.00700244828186688
"10333","Saint-André-les-Vergers","10",44,0.112185686826706,29,6471.41268835357,12391,2,"B","Right",0.254200011491776,1,14872,517,0.00448124720158715
"10362","Sainte-Savine","10",44,0.0967741906642914,35,6146.92641058813,10764,2,"B","Left",0.254200011491776,1,14216,527,0.00569390255587121
"10387","Troyes","10",44,0.114638447761536,250,37708.3966461713,62328,2,"C","Right",0.254200011491776,1,15848,3402,0.00662982312257457
"11069","Carcassonne","11",76,0.125067099928856,373,27296.1282342307,47538,2,"C","Right",0.37389999628067,1,17337,3726,0.0136649416649589
"11076","Castelnaudary","11",76,0.0887792855501175,38,6076.55482559825,11563,2,"C","Left",0.325899988412857,1,13312,811,0.00625354351118832
"11203","Lézignan-Corbières","11",76,0.108695648610592,94,5317.21054217637,11446,2,"I","Left",0.344199985265732,1,14622,736,0.0176784423438544
"11206","Limoux","11",76,0.081761009991169,30,5850.82434348831,10804,2,"C","Left",0.350199997425079,1,14050,795,0.00512748259711276
"11262","Narbonne","11",76,0.120315581560135,360,36842.2195315144,54964,2,"I","Right",0.320800006389618,1,16208,4563,0.00977139826475602
"12145","Millau","12",76,0.0935754179954529,72,13029.7637295536,23058,2,"C","Right",0.32669997215271,1,13070,1432,0.00552581009866606
"12176","Onet-le-Château","12",76,0.0938511341810226,30,6020.64521435176,12515,3,"B","Right",0.307500004768372,0,15062,618,0.00498285464961251
"12202","Rodez","12",76,0.102739728987217,54,15882.8102650365,25956,3,"C","Left",0.307500004768372,0,15844,1898,0.00339990210163704
"12300","Villefranche-de-Rouergue","12",76,0.0616740100085735,29,7569.42011759183,12642,2,"C","Right",0.287600010633469,0,13700,908,0.00383120497336409
"13001","Aix-en-Provence","13",93,0.120433859527111,980,83338.5001685145,146192,4,"B","Right",0.267900019884109,1,21648,16042,0.0117592709014248
"13002","Allauch","13",93,0.132352948188782,99,9296.03445867561,21582,4,"B","Left",0.326300024986267,1,17966,1292,0.0106497023478229
"13004","Arles","13",93,0.112903222441673,315,27778.2306700626,53853,2,"C","Left",0.311100006103516,1,15422,3968,0.011339815114268
"13005","Aubagne","13",93,0.115083023905754,220,21493.3511559027,45844,3,"B","Right",0.343300014734268,1,15506,4336,0.010235723522322
"13007","Auriol","13",93,0.150812059640884,60,5565.42656834914,11707,4,"B","Left",0.343300014734268,1,16472,862,0.0107808447857749
"13014","Berre-l'Étang","13",93,0.156976744532585,27,5752.4275018438,13572,2,"B","Left",0.269800007343292,1,13128,688,0.00469367062711278
"13026","Châteauneuf-les-Martigues","13",93,0.169875428080559,41,7318.34508634957,15149,3,"B","Right",0.326300024986267,1,13912,883,0.00560235948376835
"13027","Châteaurenard","13",93,0.143896520137787,60,8000.20777593269,15833,2,"B","Right",0.25670000910759,1,14496,1237,0.00749980521512205
"13028","La Ciotat","13",93,0.135086134076118,233,22890.2722405596,35994,3,"B","Right",0.326300024986267,1,16600,3309,0.0101789964554089
"13039","Fos-sur-Mer","13",93,0.121118009090424,41,6868.40932098228,16242,3,"B","Left",0.343699991703033,1,13194,966,0.00596935885500435
"13041","Gardanne","13",93,0.127819553017616,100,9887.9861404437,20126,3,"B","Left",0.335900008678436,1,13971,1596,0.0101132827837391
"13047","Istres","13",93,0.129279285669327,216,19700.3537668657,44514,3,"B","Left",0.343699991703033,1,14620,2220,0.010964270111905
"13054","Marignane","13",93,0.13323500752449,166,15018.7024878082,34222,2,"B","Right",0.326300024986267,1,14782,2034,0.0110528855694927
"13055","Marseille","13",93,0.130614176392555,4726,444172.01703869,869815,2,"C","Right",0.326300024986267,1,19292,65437,0.0106400219255333
"13056","Martigues","13",93,0.126391381025314,347,25226.840455902,49938,3,"B","Left",0.313799977302551,1,16766,2785,0.0137551906512659
"13063","Miramas","13",93,0.14310197532177,115,11611.5294839971,26104,2,"B","Left",0.343699991703033,1,13878,1167,0.00990394935985754
"13071","Les Pennes-Mirabeau","13",93,0.128171756863594,58,9440.47931188052,21680,4,"B","Left",0.267900019884109,1,15238,1537,0.00614375585008793
"13075","Plan-de-Cuques","13",93,0.112418301403522,50,5054.80472220454,10575,4,"B","Right",0.326300024986267,1,15250,765,0.00989157895266696
"13077","Port-de-Bouc","13",93,0.118062563240528,37,7608.62411837733,17613,2,"B","Left",0.313799977302551,1,14254,991,0.00486290286185026
"13081","Rognac","13",93,0.128172591328621,47,5095.4496025732,11985,4,"B","Right",0.269800007343292,1,14196,788,0.00922391617341579
"13097","Saint-Martin-de-Crau","13",93,0.128989368677139,39,6237.5326782961,13891,3,"I","Left",0.311100006103516,1,13222,752,0.00625247225328422
"13103","Salon-de-Provence","13",93,0.149950668215752,229,22160.9671324493,45461,3,"C","Right",0.269800007343292,1,16135,3041,0.0103334840321425
"13106","Septèmes-les-Vallons","13",93,0.106623589992523,49,4775.56580546877,10826,3,"B","Left",0.326300024986267,1,14386,619,0.0102605642966719
"13108","Tarascon","13",93,0.116923078894615,110,7004.65999281495,15190,2,"B","Right",0.311100006103516,1,15454,975,0.0157038314654577
"13110","Trets","13",93,0.141355141997337,93,5061.46723815259,11117,4,"B","Right",0.267900019884109,1,15874,856,0.0183741187335917
"13117","Vitrolles","13",93,0.125376507639885,132,14397.9542401402,34481,2,"B","Left",0.267900019884109,1,15150,2656,0.00916796912939172
"14047","Bayeux","14",28,0.0996563583612442,18,7844.03742897648,14005,2,"C","Right",0.234500005841255,0,14634,873,0.0022947366280414
"14118","Caen","14",28,0.132159858942032,349,66177.0794606554,109400,2,"C","Right",0.261500000953674,1,18174,6931,0.00527372925557243
"14327","Hérouville-Saint-Clair","14",28,0.155908644199371,44,11760.0714986533,22793,2,"B","Right",0.261500000953674,1,14674,1007,0.00374147385116142
"14341","Ifs","14",28,0.176706820726395,43,5169.4665681838,11801,3,"B","Right",0.261500000953674,1,14158,498,0.00831807294482751
"14366","Lisieux","14",28,0.0875856801867485,37,12192.5552553619,21576,2,"C","Right",0.216100007295609,1,13192,1313,0.0030346386975551
"14762","Vire Normandie","14",28,0.0560875497758389,17,9858.21925207517,18543,2,"I","Left",0.186700001358986,1,11536,731,0.00172444937217454
"15014","Aurillac","15",84,0.0881897881627083,70,17113.5561682584,27626,2,"C","Left",0.300900012254715,0,14122,1939,0.00409032461235809
"16015","Angoulême","16",75,0.122340425848961,191,26091.4893150142,44785,2,"C","Right",0.26240000128746,0,17130,3008,0.00732039469629241
"16102","Cognac","16",75,0.101375818252563,60,11291.0773431273,19356,2,"C","Left",0.251900017261505,0,16156,1381,0.00531393047595419
"17299","Rochefort","17",75,0.112366229295731,91,15439.2085814639,24901,2,"C","Right",0.25220000743866,1,14962,1682,0.00589408450050046
"17300","La Rochelle","17",75,0.119993954896927,256,52030.9359451246,78358,2,"C","Left",0.259700000286102,0,17694,6617,0.00492014981760073
"17306","Royan","17",75,0.0829420983791351,125,20497.7266694218,19116,3,"C","Right",0.225400015711784,0,16388,1917,0.00609823723459407
"17415","Saintes","17",75,0.10460901260376,137,15527.8246978879,26858,2,"C","Right",0.253800004720688,1,15414,1931,0.00882287137222993
"18033","Bourges","18",24,0.11437626183033,271,38716.9184177834,68354,2,"C","Centre & Others",0.258899986743927,1,17058,3471,0.00699952400848939
"18197","Saint-Amand-Montrond","18",24,0.0857142880558968,25,6312.64237219681,10310,2,"C","Right",0.266000002622604,1,13262,525,0.00396030671880117
"18279","Vierzon","18",24,0.118499577045441,203,14984.1729476282,27555,2,"C","Left",0.260499984025955,1,13540,1173,0.0135476279344555
"19031","Brive-la-Gaillarde","19",75,0.100367195904255,141,28485.3179557102,48666,2,"C","Right",0.319599986076355,1,15159,3268,0.00494991841829643
"19272","Tulle","19",75,0.081334725022316,22,9062.52724446829,15181,2,"C","Left",0.321399986743927,1,14270,959,0.00242757890889968
"19275","Ussel","19",75,0.0790441185235977,9,5765.22410703313,10176,2,"I","Right",0.28370001912117,1,12098,544,0.00156108415439058
"21054","Beaune","21",27,0.0855130776762962,35,12040.719098718,22418,3,"I","Right",0.208700001239777,1,15107,1988,0.00290680313302272
"21166","Chenôve","21",27,0.0996677726507187,26,6735.88472878094,14205,2,"B","Left",0.26129999756813,1,14178,903,0.00385992353593994
"21171","Chevigny-Saint-Sauveur","21",27,0.14322917163372,13,5250.09330800102,11819,3,"B","Right",0.26129999756813,1,12722,384,0.00247614646775674
"21231","Dijon","21",27,0.128656908869743,430,93918.7585228858,159168,3,"C","Left",0.26129999756813,1,16662,9024,0.00457842508528495
"21515","Quetigny","21",27,0.101190477609634,18,4271.63313468424,10022,3,"B","Left",0.26129999756813,1,14370,504,0.00421384501722444
"21617","Talant","21",27,0.13905930519104,32,5771.51487990106,11637,3,"B","Right",0.26129999756813,1,20828,489,0.00554447154098796
"22050","Dinan","22",53,0.0871287137269974,41,8994.15813717011,11515,3,"C","Centre & Others",0.263999998569489,0,16592,1010,0.00455851446847032
"22093","Lamballe","22",53,0.087777778506279,54,9078.68167090904,13935,3,"I","Left",0.277999997138977,0,12394,900,0.00594800015656822
"22113","Lannion","22",53,0.106283940374851,51,11471.9004517755,20815,3,"C","Left",0.269300013780594,0,15712,1289,0.00444564527162601
"22136","Loudéac","22",53,0.0720130950212479,20,5099,10015,2,"I","Right",0.243400007486343,0,12500,611,0.00392233771327711
"22187","Plérin","22",53,0.100867681205273,76,7652.68621866144,14585,4,"B","Left",0.286100000143051,0,15338,922,0.00993115330074169
"22215","Ploufragan","22",53,0.0799180343747139,28,5460.03161206899,11699,3,"B","Left",0.286100000143051,0,12064,488,0.00512817543731946
"22278","Saint-Brieuc","22",53,0.111111111938953,182,27153.4130416414,47166,2,"C","Centre & Others",0.286100000143051,0,15900,2709,0.00670265648450499
"23096","Guéret","23",75,0.0839694663882256,56,8267.89512344079,14236,2,"C","Left",0.32379999756813,0,15766,786,0.00677318702812656
"24037","Bergerac","24",75,0.0895228758454323,211,16896.024549372,28369,2,"C","Right",0.263999998569489,1,15054,2033,0.012488144733895
"24322","Périgueux","24",75,0.104696251451969,106,20182.9808445048,31406,2,"C","Right",0.277599990367889,1,16198,2321,0.00525194969051663
"25031","Audincourt","25",27,0.11791730672121,26,6926.78413064352,14363,2,"C","Left",0.256599992513657,1,13842,653,0.00375354558618019
"25056","Besançon","25",27,0.114281594753265,399,70248.8886697355,120336,2,"C","Left",0.257600009441376,1,17572,6939,0.00567980515500876
"25388","Montbéliard","25",27,0.103349961340427,61,13686.6580527153,26080,2,"C","Right",0.256599992513657,1,16788,1403,0.00445689515768228
"25462","Pontarlier","25",27,0.101825170218945,29,9709.03516717291,17880,4,"C","Right",0.253800004720688,0,20214,1041,0.0029869085342333
"25580","Valentigney","25",27,0.206249997019768,28,5056.13708255791,10411,2,"B","Right",0.256599992513657,1,14666,320,0.0055378245373511
"26057","Bourg-de-Péage","26",84,0.117035113275051,38,5396.99228816854,10759,2,"B","Left",0.254700005054474,1,12885,769,0.00704095873609173
"26058","Bourg-lès-Valence","26",84,0.12624254822731,118,9839.71662077517,20648,2,"B","Right",0.257099986076355,1,14490,1006,0.0119922152789299
"26198","Montélimar","26",84,0.122527122497559,342,20794.9323493596,39632,2,"C","Centre & Others",0.256900012493134,1,16117,3134,0.0164463146238863
"26235","Pierrelatte","26",84,0.142509132623672,44,6575.46978563273,13420,2,"I","Centre & Others",0.203700006008148,1,14444,821,0.0066915370968838
"26281","Romans-sur-Isère","26",84,0.115233525633812,119,18177.3472080258,34317,2,"C","Right",0.260199993848801,1,14658,2291,0.00654660983465498
"26362","Valence","26",84,0.115811638534069,336,37366.8931980732,64343,2,"C","Right",0.254599988460541,1,16478,5224,0.00899191694152742
"27056","Bernay","27",28,0.10298103094101,17,6021.51671753004,11031,2,"C","Centre & Others",0.189999997615814,1,15866,738,0.00282320896834996
"27229","Évreux","27",28,0.120132252573967,150,26298.0479943848,52168,2,"C","Right",0.249500006437302,1,16650,2722,0.00570384539689137
"27284","Gisors","27",28,0.119335345923901,25,5931.14313456158,12135,2,"C","Right",0.218500003218651,1,13128,662,0.00421503906292896
"27375","Louviers","27",28,0.105152472853661,55,9183.78123784144,19081,2,"C","Right",0.24770000576973,1,15236,951,0.00598881861137703
"27681","Vernon","27",28,0.146266356110573,70,11996.6628410401,24798,2,"C","Right",0.220599994063377,1,17762,1299,0.00583495601464541
"27701","Val-de-Reuil","27",28,0.145199060440063,36,4900.47485354442,13584,2,"C","Left",0.24770000576973,1,13416,427,0.00734622686084429
"28085","Chartres","28",24,0.107397675514221,76,22355.6625383349,40299,3,"C","Right",0.257600009441376,1,16883,2663,0.00339958611692573
"28088","Châteaudun","28",24,0.122611463069916,32,6630.46515829682,13331,2,"C","Right",0.242099985480309,1,13846,628,0.00482620739812769
"28134","Dreux","28",24,0.140338987112045,114,13784.805093866,31431,2,"C","Right",0.249500006437302,0,14052,1475,0.00826997547108795
"28218","Lucé","28",24,0.148535564541817,39,8335.75425926073,16433,2,"B","Left",0.257600009441376,1,13530,478,0.00467864080286105
"28229","Mainvilliers","28",24,0.158054709434509,26,5320.28227701816,11496,2,"B","Left",0.257600009441376,1,15924,329,0.00488695874508601
"28280","Nogent-le-Rotrou","28",24,0.0607142858207226,21,5764.33644455128,10383,2,"I","Left",0.246500000357628,1,13090,560,0.00364309061450606
"28404","Vernouillet","28",24,0.169811323285103,36,4967.58244515339,12710,2,"B","Left",0.249500006437302,1,13614,477,0.00724698591265925
"29019","Brest","29",53,0.124578043818474,450,83179.25097054,142601,2,"C","Left",0.291700005531311,0,14992,6221,0.00541000303259978
"29039","Concarneau","29",53,0.105515584349632,47,13341.4395627545,19990,3,"C","Right",0.254700005054474,0,14216,1251,0.00352285821773016
"29046","Douarnenez","29",53,0.0894117653369904,16,10344.9347465911,14644,2,"I","Right",0.267599999904633,0,12676,850,0.00154665064516452
"29075","Guipavas","29",53,0.112094394862652,36,6342.34918997715,14702,4,"B","Left",0.291700005531311,0,13560,678,0.00567613023529058
"29103","Landerneau","29",53,0.114825583994389,26,8112.62745633026,16397,3,"C","Right",0.237199991941452,0,12658,688,0.00320488031035029
"29151","Morlaix","29",53,0.104770816862583,28,9808.32491640477,15581,2,"C","Right",0.245200008153915,0,14576,1069,0.00285471782782899
"29189","Plougastel-Daoulas","29",53,0.157608702778816,46,6330.54615394757,13791,4,"B","Right",0.291700005531311,0,16206,552,0.00726635567948834
"29212","Plouzané","29",53,0.122807018458843,18,5486.83485041974,12775,3,"B","Left",0.291700005531311,0,12474,342,0.00328057987723524
"29232","Quimper","29",53,0.107396870851517,137,37858.4695520671,66959,3,"C","Right",0.250100016593933,0,14612,4218,0.0036187411065728
"29233","Quimperlé","29",53,0.079896904528141,10,6513.23187150681,12649,2,"C","Left",0.245600000023842,0,11940,776,0.0015353360969301
"29235","Le Relecq-Kerhuon","29",53,0.179611653089523,63,5555.52547765223,11729,4,"B","Left",0.291700005531311,0,15602,412,0.0113400613953487
"2A004","Ajaccio","2A",94,0.104572966694832,70,34333.9519160147,69375,3,"I","Right",0.207699999213219,0,17525,5948,0.00203879821848732
"2A247","Porto-Vecchio","2A",94,0.107773847877979,39,12237.0031070234,12056,2,"I","Right",0.199799999594688,0,15620,2264,0.00318705484168881
"2B033","Bastia","2B",94,0.101015225052834,63,21001.4891425375,45094,2,"C","Centre & Others",0.243900001049042,0,17238,3940,0.00299978728043606
"30007","Alès","30",76,0.11162330955267,226,24208.9543934762,40733,2,"C","Right",0.302000015974045,0,15200,3037,0.00933538872958934
"30028","Bagnols-sur-Cèze","30",76,0.120567373931408,70,9954.62158287183,18649,2,"C","Left",0.277700006961823,1,16074,1128,0.00703190969312623
"30032","Beaucaire","30",76,0.135162606835365,139,7769.29271321344,16269,2,"C","Centre & Others",0.332200020551682,1,14484,984,0.0178909464646118
"30189","Nîmes","30",76,0.127930998802185,1087,81417.3065528623,153889,2,"C","Right",0.342999994754791,1,18682,11131,0.0133509697879067
"30202","Pont-Saint-Esprit","30",76,0.114803627133369,30,5663.3647120022,10512,2,"C","Left",0.277700006961823,1,15148,662,0.00529720431679455
"30258","Saint-Gilles","30",76,0.157160967588425,49,6570.04031232823,13609,2,"I","Right",0.342999994754791,1,13520,789,0.00745809731304918
"30341","Vauvert","30",76,0.127527222037315,28,5466.85301331513,11635,2,"I","Left",0.316799998283386,1,13686,643,0.00512177662940688
"30351","Villeneuve-lès-Avignon","30",76,0.16349384188652,105,6446.38567243342,11949,4,"B","Right",0.374199986457825,1,22140,893,0.01628819703559
"31069","Blagnac","31",76,0.107772700488567,211,12838.7342328366,24241,4,"B","Left",0.329000025987625,1,19570,1531,0.0164346419338086
"31113","Castanet-Tolosan","31",76,0.122077919542789,74,6792.06177866287,13056,4,"B","Right",0.334600001573563,1,17702,770,0.0108950716897879
"31149","Colomiers","31",76,0.135040163993835,291,17854.8776190191,39266,4,"B","Left",0.329000025987625,1,18006,1992,0.0162980674642108
"31157","Cugnaux","31",76,0.133528262376785,68,8203.58721603534,17841,4,"B","Right",0.329000025987625,1,17046,1026,0.00828905675154915
"31187","Fonsorbes","31",76,0.15263158082962,41,4982.45950257216,11988,4,"C","Left",0.314900010824203,1,15370,570,0.00822886768649781
"31395","Muret","31",76,0.124410375952721,124,12040.5254510313,26038,3,"B","Left",0.314900010824203,1,15946,1696,0.0102985538716152
"31424","Plaisance-du-Touch","31",76,0.136069118976593,100,7894.49237571602,18196,4,"B","Left",0.345499992370605,1,17714,926,0.0126670589115529
"31446","Ramonville-Saint-Agne","31",76,0.140350878238678,90,7828.02800727498,14217,4,"B","Left",0.334600001573563,1,20668,855,0.0114971484410069
"31483","Saint-Gaudens","31",76,0.0913921371102333,53,7095.10007073965,11920,2,"C","Left",0.283600002527237,1,15966,941,0.0074699439714139
"31488","Saint-Jean","31",76,0.10929648578167,25,5040.65529166129,10752,4,"B","Left",0.329000025987625,1,16402,796,0.00495967261267742
"31506","Saint-Orens-de-Gameville","31",76,0.136619716882706,57,5597.21326756755,11887,4,"B","Right",0.329000025987625,1,16674,710,0.0101836391209676
"31555","Toulouse","31",76,0.15698216855526,4217,292183.126042964,479638,3,"C","Right",0.329000025987625,1,20566,34316,0.0144327294225058
"31557","Tournefeuille","31",76,0.130370363593102,323,12474.8561424454,27045,5,"B","Left",0.329000025987625,1,20584,1350,0.0258920821460217
"31561","L'Union","31",76,0.0977859795093536,65,5600.59498550002,11785,4,"B","Left",0.329000025987625,1,16440,1084,0.0116059097592819
"32013","Auch","32",76,0.107268467545509,97,13641.3033440581,23139,2,"C","Left",0.397200018167496,0,16088,1706,0.00711075749534236
"33003","Ambarès-et-Lagrave","33",75,0.198992446064949,49,6839.03950991094,16117,2,"B","Left",0.350600004196167,1,12836,794,0.00716474878219238
"33005","Andernos-les-Bains","33",75,0.110623352229595,54,9319.99542391203,12024,4,"C","Right",0.287299990653992,1,17764,1139,0.00579399426114028
"33009","Arcachon","33",75,0.117985613644123,84,17574.2446693745,11188,4,"B","Right",0.290300011634827,1,22666,1390,0.00477972177924559
"33039","Bègles","33",75,0.168181821703911,150,14293.3780764899,27589,3,"B","Left",0.350600004196167,1,14566,1760,0.010494370134008
"33051","Biganos","33",75,0.181114554405212,37,4879.85841156471,10422,3,"C","Centre & Others",0.243600010871887,1,12046,646,0.00758218720287339
"33056","Blanquefort","33",75,0.141150921583176,92,7145.70085961353,16160,4,"B","Left",0.350600004196167,1,15166,921,0.01287487425061
"33063","Bordeaux","33",75,0.176893696188927,1137,156977.569473096,253812,3,"C","Right",0.350600004196167,1,21306,24608,0.00724307303149363
"33069","Le Bouscat","33",75,0.164144352078438,94,12737.9193103335,24037,4,"B","Right",0.350600004196167,1,20326,1718,0.00737954117229676
"33075","Bruges","33",75,0.160234898328781,83,8663.30168033493,18371,4,"B","Left",0.350600004196167,1,15036,1192,0.00958064293067434
"33119","Cenon","33",75,0.172222226858139,107,12211.0439328056,24945,2,"B","Left",0.350600004196167,1,14866,1980,0.00876255958039255
"33122","Cestas","33",75,0.111212395131588,77,7335.37644041303,16892,4,"B","Left",0.260199993848801,1,16136,1097,0.0104970754569297
"33162","Eysines","33",75,0.172413796186447,174,11006.3172794525,23295,3,"B","Left",0.350600004196167,1,15589,1392,0.0158091026800434
"33167","Floirac","33",75,0.152740344405174,85,8108.53027061252,17142,2,"B","Left",0.350600004196167,1,14718,1113,0.0104827875290868
"33192","Gradignan","33",75,0.131193295121193,174,12719.1887147602,25719,4,"B","Right",0.350600004196167,1,17858,1433,0.013680117804847
"33199","Gujan-Mestras","33",75,0.154958680272102,115,12553.9539841168,21300,4,"C","Right",0.290300011634827,1,16578,1452,0.00916046053263358
"33243","Libourne","33",75,0.112499997019768,74,13777.9008558148,25522,2,"C","Left",0.333700001239777,1,15754,1920,0.00537091976306167
"33249","Lormont","33",75,0.156697005033493,94,10519.5020254204,22690,2,"B","Left",0.350600004196167,1,13720,1538,0.00893578420089172
"33281","Mérignac","33",75,0.158081009984016,393,37733.4645124039,71067,4,"B","Left",0.350600004196167,1,16258,5086,0.0104151581382306
"33318","Pessac","33",75,0.166564419865608,402,31177.0370223111,62260,4,"B","Right",0.350600004196167,1,17664,3260,0.012894105354281
"33366","Saint-André-de-Cubzac","33",75,0.143246933817863,51,5301.9131962433,11000,3,"C","Left",0.256599992513657,1,12764,733,0.00961916917767276
"33449","Saint-Médard-en-Jalles","33",75,0.156315416097641,164,13828.4976584369,31235,4,"B","Right",0.350600004196167,1,15721,1433,0.0118595673984832
"33522","Talence","33",75,0.219484880566597,225,25817.6804741791,43506,3,"B","Right",0.350600004196167,1,18288,1786,0.00871495796165841
"33529","La Teste-de-Buch","33",75,0.140292271971703,136,17977.1457933666,26493,3,"C","Right",0.290300011634827,1,15994,2395,0.00756516087499178
"33550","Villenave-d'Ornon","33",75,0.161842882633209,244,16119.8122529533,31967,3,"B","Right",0.350600004196167,1,13902,1693,0.0151366527209581
"34003","Agde","34",76,0.124622814357281,203,49105.0627166885,27383,2,"I","Right",0.334000021219254,1,15322,3314,0.00413399329456533
"34032","Béziers","34",76,0.134814128279686,458,45445.392188399,77393,2,"C","Centre & Others",0.344099998474121,1,16722,6483,0.0100780294314836
"34057","Castelnau-le-Lez","34",76,0.153921097517014,108,10487.7980561447,19886,4,"B","Right",0.365800023078918,1,20338,2053,0.0102976811168407
"34108","Frontignan","34",76,0.137792646884918,122,13703.1372133929,23014,2,"C","Left",0.40939998626709,1,13278,1495,0.00890307074213357
"34129","Lattes","34",76,0.125475287437439,115,8467.72734620149,16567,4,"B","Left",0.365800023078918,1,16982,1841,0.013580975779952
"34145","Lunel","34",76,0.132346138358116,138,12091.8151537388,25466,2,"C","Right",0.361800014972687,1,14934,2161,0.0114126785966729
"34154","Mauguio","34",76,0.123376622796059,81,12570.0109292564,17446,4,"I","Left",0.362200021743774,1,15480,2002,0.006443908478351
"34157","Mèze","34",76,0.138284251093864,39,6791.80278656998,11654,2,"I","Left",0.348800003528595,1,14092,781,0.00574221620173043
"34172","Montpellier","34",76,0.161941096186638,1999,168119.613943426,282143,2,"C","Left",0.365800023078918,1,19014,23595,0.0118903437446191
"34301","Sète","34",76,0.11344537883997,250,32193.7462257582,44276,2,"C","Right",0.40939998626709,1,16296,3570,0.00776548334098425
"35024","Betton","35",53,0.139720559120178,40,5173.20437243697,11198,4,"C","Left",0.287299990653992,1,15848,501,0.00773215151002375
"35047","Bruz","35",53,0.113207548856735,45,9131.65333738651,18476,4,"B","Right",0.287299990653992,1,14870,901,0.00492791374545095
"35051","Cesson-Sévigné","35",53,0.0971394553780556,105,9005.55320147657,18095,5,"B","Right",0.287299990653992,1,18946,1678,0.011659472511115
"35055","Chantepie","35",53,0.137724548578262,38,5126.00715803257,10766,4,"B","Centre & Others",0.287299990653992,1,16604,501,0.00741317731881297
"35093","Dinard","35",53,0.108571425080299,39,11514.7841169604,10560,4,"C","Right",0.24600000679493,0,18932,875,0.00338695016805013
"35115","Fougères","35",53,0.0850047767162323,21,11985.6965872016,21064,2,"C","Left",0.249799996614456,1,12564,1047,0.00175208840364138
"35210","Pacé","35",53,0.125850334763527,46,5026.82368023353,11817,4,"B","Right",0.287299990653992,1,17550,588,0.00915090779509159
"35238","Rennes","35",53,0.14122448861599,525,125855.307490611,221272,3,"C","Left",0.287299990653992,1,19764,12250,0.00417145697283498
"35281","Saint-Jacques-de-la-Lande","35",53,0.135273978114128,30,6495.45856504818,12759,2,"B","Left",0.287299990653992,1,13566,584,0.00461861155753173
"35288","Saint-Malo","35",53,0.102924942970276,133,35234.814150053,47318,3,"I","Right",0.253800004720688,0,16420,3624,0.00377467579177794
"35360","Vitré","35",53,0.107985481619835,23,9179.16932968825,18378,3,"I","Right",0.244000002741814,1,13194,1102,0.0025056733538634
"36044","Châteauroux","36",24,0.122507125139236,168,26277.8412877777,45496,2,"C","Right",0.245600000023842,1,15051,2106,0.0063932192207181
"36088","Issoudun","36",24,0.0877513736486435,34,7215.58174647556,12399,2,"I","Left",0.121199995279312,1,12698,547,0.00471202478117683
"37003","Amboise","37",24,0.109375,39,6982.64816660318,13524,2,"B","Left",0.201100006699562,1,15148,704,0.00558527353369032
"37050","Chambray-lès-Tours","37",24,0.099408283829689,22,5970.63359836344,11385,4,"B","Left",0.233700007200241,1,16138,845,0.00368470106858177
"37109","Fondettes","37",24,0.168518513441086,23,4567.1689891703,10954,4,"B","Left",0.233700007200241,1,17242,540,0.00503594240864258
